Index;name;album;artist;release_date;length;popularity;explicit;danceability;acousticness;danceability;energy;instrumentalness;liveness;loudness;speechiness;tempo;time_signature;key;mode;valence
108;Taki Taki (feat. Selena Gomez, Ozuna & Cardi B);Carte Blanche;DJ Snake;2019-07-25;212.5;75;True;0.842;0.157;0.842;0.801;4.82e-06;0.0642;-4.167;0.228;95.881;4;8;0;0.617
109;Smells Like Teen Spirit;Nevermind (Remastered);Nirvana;1991-09-26;301.92;83;False;0.502;2.55e-05;0.502;0.912;0.000173;0.106;-4.556;0.0564;116.761;4;1;1;0.72
110;We Don't Talk Anymore (feat. Selena Gomez);Nine Track Mind;Charlie Puth;2016-01-29;217.706;73;False;0.728;0.621;0.728;0.563;0.0;0.179;-8.053;0.134;100.017;4;1;0;0.352
111;This Is What You Came For (feat. Rihanna);This Is What You Came For (feat. Rihanna);Calvin Harris;2016-04-29;222.16;84;False;0.631;0.199;0.631;0.927;0.119;0.148;-2.787;0.0332;123.962;4;9;0;0.465
112;In My Feelings;Scorpion;Drake;2018-06-29;217.925;80;True;0.835;0.0589;0.835;0.626;0,00006;0.396;-5.833;0.125;91.03;4;1;1;0.35
113;The Scientist;A Rush of Blood to the Head;Coldplay;2002-08-08;309.6;87;False;0.557;0.731;0.557;0.442;1.46e-05;0.11;-7.224;0.0243;146.277;4;5;1;0.213
114;Don't Stop Me Now - Remastered 2011;Jazz (Deluxe Remastered Version);Queen;1978-11-10;209.413;77;False;0.563;0.0472;0.563;0.865;0.000191;0.77;-5.277;0.16;156.271;4;5;1;0.601
115;Someone Like You;21;Adele;2011-01-19;285.04;5;False;0.559;0.892;0.559;0.33;0.0;0.0975;-8.251;0.0285;135.109;4;9;1;0.285
116;IDGAF;Dua Lipa (Deluxe);Dua Lipa;2017-06-02;217.946;83;True;0.836;0.0403;0.836;0.544;0.0;0.0824;-5.975;0.0943;97.028;4;7;1;0.51
117;Chandelier;1000 Forms Of Fear (Deluxe Version);Sia;2015-05-04;216.12;73;False;0.399;0.0197;0.399;0.787;6.07e-05;0.0685;-2.88;0.0499;117.089;5;1;1;0.572
118;Another One Bites The Dust - Remastered 2011;The Game (Deluxe Remastered Version);Queen;1980-06-27;214.653;77;False;0.933;0.112;0.933;0.528;0.329;0.163;-6.472;0.162;109.975;4;5;0;0.756
119;Work from Home (feat. Ty Dolla $ign);7/27 (Deluxe);Fifth Harmony;2016-05-27;214.48;81;False;0.803;0.103;0.803;0.585;3.94e-06;0.0644;-5.861;0.0432;105.017;4;8;1;0.593
120;Wow.;Hollywood's Bleeding;Post Malone;2019-09-06;149.546;84;True;0.829;0.136;0.829;0.539;1.78e-06;0.103;-7.359;0.208;99.96;4;11;0;0.388
121;I Don’t Wanna Live Forever (Fifty Shades Darker);Fifty Shades Darker (Original Motion Picture Soundtrack);Various Artists;2017-02-10;245.653;70;False;0.734;0.0594;0.734;0.442;1.63e-05;0.213;-8.432;0.0557;117.967;4;0;1;0.0973
122;Ride;Blurryface;Twenty One Pilots;2015-05-15;214.506;85;False;0.645;0.00835;0.645;0.713;0.0;0.113;-5.355;0.0393;74.989;4;6;1;0.566
123;Every Breath You Take;Synchronicity (Remastered 2003);The Police;1983-06-17;253.92;88;False;0.82;0.543;0.82;0.452;0.00294;0.0714;-9.796;0.0348;117.401;4;1;1;0.74
124;Hello;25;Adele;2016-06-24;295.493;3;False;0.481;0.336;0.481;0.451;0.0;0.0872;-6.095;0.0347;157.966;4;5;0;0.289
125;Under Pressure - Remastered 2011;Hot Space (Deluxe Remastered Version);Queen;1982-05-03;248.44;74;False;0.671;0.422;0.671;0.711;0.0;0.104;-7.813;0.0478;113.809;4;2;1;0.466
126;Yellow;Parachutes;Coldplay;2000-07-10;266.773;90;False;0.429;0.00239;0.429;0.661;0.000121;0.234;-7.227;0.0281;173.372;4;11;1;0.285
127;Before You Go;Divinely Uninspired To A Hellish Extent (Extended Edition);Lewis Capaldi;2019-11-22;215.106;87;False;0.459;0.604;0.459;0.575;0.0;0.0885;-4.858;0.0573;111.881;4;3;1;0.183
128;All I Want for Christmas Is You;Merry Christmas;Mariah Carey;1994-10-28;241.106;76;False;0.336;0.164;0.336;0.627;0.0;0.0708;-7.463;0.0384;150.273;4;7;1;0.35
129;Mi Gente;Mi Gente;J Balvin;2017-06-30;189.44;74;False;0.774;0.0179;0.774;0.687;1.17e-05;0.128;-4.818;0.0584;104.959;4;11;0;0.308
130;Rockabye (feat. Sean Paul & Anne-Marie);What Is Love? (Deluxe Edition);Clean Bandit;2018-11-30;251.173;77;False;0.717;0.383;0.717;0.73;0.0;0.398;-4.729;0.0568;102.002;4;9;0;0.792
131;Work;ANTI (Deluxe);Rihanna;2016-01-28;219.32;0;True;0.725;0.0752;0.725;0.534;0.0;0.0919;-6.238;0.0946;91.974;4;11;1;0.558
132;There's Nothing Holdin' Me Back;Illuminate (Deluxe);Shawn Mendes;2017-04-20;199.44;88;False;0.866;0.38;0.866;0.813;0.0;0.0779;-4.063;0.0554;121.998;4;11;0;0.969
133;High Hopes;Pray for the Wicked;Panic! At The Disco;2018-06-22;190.946;85;False;0.579;0.193;0.579;0.904;0.0;0.064;-2.729;0.0618;82.014;4;5;1;0.681
134;It Ain’t Me (with Selena Gomez);It Ain't Me;Kygo;2017-02-17;220.78;70;False;0.64;0.119;0.64;0.533;0.0;0.0864;-6.596;0.0706;99.968;4;0;1;0.515
135;Peaches (feat. Daniel Caesar & Giveon);Justice;Justin Bieber;2021-03-19;198.081;91;True;0.677;0.321;0.677;0.696;0.0;0.42;-6.181;0.119;90.03;4;0;1;0.464
136;I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne);Grateful;DJ Khaled;2017-06-22;288.876;70;True;0.599;0.0533;0.599;0.667;0.0;0.134;-4.267;0.0367;80.984;4;7;1;0.817
137;Halo;I AM...SASHA FIERCE;Beyoncé;2008-11-14;261.64;69;False;0.508;0.272;0.508;0.72;0.0;0.0563;-5.908;0.0628;79.983;4;11;0;0.472
138;Seven Nation Army;Elephant;The White Stripes;2003-04-01;232.106;87;False;0.743;0.0039;0.743;0.446;0.118;0.337;-7.807;0.0683;123.596;4;4;0;0.278
139;The Middle;The Middle;Zedd;2018-01-23;184.732;85;False;0.753;0.171;0.753;0.657;0.0;0.112;-3.061;0.0449;107.01;4;7;1;0.437
140;Me Rehúso;54+1;Danny Ocean;2019-03-22;205.714;80;False;0.744;0.0231;0.744;0.804;0.0;0.0494;-6.327;0.0677;104.823;4;1;1;0.426
141;In the Name of Love;In the Name of Love;Martin Garrix;2016-07-29;195.706;81;False;0.501;0.109;0.501;0.519;0.0;0.454;-5.88;0.0409;133.99;4;4;0;0.168
